DateTime,Total(PP+Imports),Umass_temp,Umass_humidity,Hoiday,Semester,Hour of day,Jan,Feb,Mar,April,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
01/01/16 10:00,12043.200659999999,38.30908585,61.90909195,HD,0,11,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 11:00,12015.269059999999,38.44545364,62.18181992,HD,0,12,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 12:00,12036.195940000001,38.636367799999995,60.63636398,HD,0,13,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 13:00,12013.03601,38.91817856,59.54545593,HD,0,14,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 14:00,11943.11766,39.42727661,58.0,HD,0,15,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 15:00,11928.08764,40.45454407,54.18181992,HD,0,16,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 16:00,11980.60539,40.49999619,52.27272797,HD,0,17,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 17:00,12262.15285,40.12727356,54.54545593,HD,0,18,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 18:00,12341.8388,40.04545593,57.45454407,HD,0,19,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 19:00,12296.62471,40.26363754,54.36363602,HD,0,20,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 20:00,12160.1854,40.46363831,52.0,HD,0,21,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 21:00,12182.05909,40.12726974,52.45454407,HD,0,22,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 22:00,12163.87613,38.65454483,60.0,HD,0,23,1,0,0,0,0,0,0,0,0,0,0,0
01/01/16 23:00,12067.74103,36.67272568,67.54545593,HD,0,24,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16,11969.44009,36.13636398,63.18181992,ND,0,1,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 1:00,11939.18034,35.50909042,55.36363602,ND,0,2,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 2:00,11887.507459999999,34.44545364,54.63636398,ND,0,3,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 3:00,11914.05455,33.863632200000005,53.0,ND,0,4,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 4:00,11903.62273,34.00909042,51.09090805,ND,0,5,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 5:00,11934.6375,33.83636093,51.81818008,ND,0,6,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 6:00,12016.79455,33.14545059,54.90909195,ND,0,7,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 7:00,12349.667809999999,32.62726974,57.0,ND,0,8,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 8:00,12207.88466,33.20909119,59.45454407,ND,0,9,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 9:00,12166.22004,33.2454567,62.27272797,ND,0,10,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 10:00,12247.702809999999,33.10000229,64.0,ND,0,11,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 11:00,12331.91472,33.09090805,60.90909195,ND,0,12,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 12:00,12432.72277,32.33636475,59.72727203,ND,0,13,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 13:00,12500.96855,32.84545517,58.45454407,ND,0,14,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 14:00,12499.07242,34.21818542,55.18181992,ND,0,15,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 15:00,12440.74119,35.88182068,51.18181992,ND,0,16,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 16:00,12414.06507,36.46363831,49.72727203,ND,0,17,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 17:00,12532.76035,37.78181458,46.09090805,ND,0,18,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 18:00,12371.12028,38.60000229,43.0,ND,0,19,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 19:00,12288.97853,37.64545441,46.18181992,ND,0,20,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 20:00,12221.02354,36.88181305,52.09090805,ND,0,21,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 21:00,12228.724259999999,36.67272568,53.09090805,ND,0,22,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 22:00,12208.65575,36.56363297,54.18181992,ND,0,23,1,0,0,0,0,0,0,0,0,0,0,0
01/02/16 23:00,12096.2623,36.54545593,54.36363602,ND,0,24,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16,12004.24375,36.20000076,56.54545593,ND,0,1,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 1:00,11977.50012,35.93636322,58.54545593,ND,0,2,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 2:00,11939.5616,36.00909042,58.90909195,ND,0,3,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 3:00,11873.40047,35.84545898,60.18181992,ND,0,4,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 4:00,11836.369120000001,35.63636398,61.36363602,ND,0,5,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 5:00,11886.19716,35.32727051,61.18181992,ND,0,6,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 6:00,11951.33045,35.09090805,61.36363602,ND,0,7,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 7:00,12049.02164,34.03636551,63.18181992,ND,0,8,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 8:00,11790.09959,33.2454567,64.0,ND,0,9,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 9:00,11769.40035,32.74545288,64.45454407,ND,0,10,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 10:00,11819.434070000001,31.98181725,65.54545593,ND,0,11,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 11:00,11836.735840000001,31.36363983,67.27272797,ND,0,12,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 12:00,11871.52859,30.99091148,69.45454407,ND,0,13,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 13:00,11909.85421,31.86363602,69.63636017,ND,0,14,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 14:00,12005.73697,34.80000305,65.54545593,ND,0,15,1,0,0,0,0,0,0,0,0,0,0,0
01/03/16 15:00,11962.59132,38.21818161,59.09090805,ND,0,16,1,0,0,0,0,0,0,0,0,0,0,0
